Transaction_ID,Bank,Card_Number,Price,PNR
342344,IOB,5.62357E+15,NULL,PNR001
676756,CANARA BANK,7.36756E+15,NULL,PNR002
978776,UNION BANK,1I54978597435874,NULL,PNR003
531343,SBI,8.95327E+15,NULL,PNR004
978098,INDIAN BANK,9.88733E+15,NULL,PNR005
146445,HDFC,1.23433E+15,NULL,PNR006
576768,ICICI,7.56356E+15,NULL,PNR007
746745,KOTAK,2.54564E+15,NULL,PNR008
867546,UNION BANK,4.65769E+15,NULL,PNR010
867547,SBI,7.46635E+15,NULL,PNR011
243535,UNION BANK,2.43647E+15,NULL,PNR012
354364,CANARA BANK,5.76879E+15,NULL,PNR014
758900,UNION BANK,2.43266E+15,NULL,PNR015
